Year,District,June,July,Aug,Sep,total,Rainy_Days,Light_Rainfall,moderate,Heavy,Very_Heavy_Rain,Extremely_Heavy_Rain
2016.0,Bhadradri Kothagudem,408.0,464.6,182.4,377.0,1432.0,,50.0,15.0,4,0,
2016.0,Bhadradri Kothagudem,574.8,189.2,158.2,425.8,1348.0,,47.0,20.0,7,0,
2016.0,Bhadradri Kothagudem,387.6,162.2,183.0,327.2,1060.0,,36.0,20.0,0,3,
2016.0,Bhadradri Kothagudem,515.8,375.4,167.0,307.6,1365.8,,32.0,23.0,1,0,
2016.0,Bhadradri Kothagudem,385.4,188.8,221.6,267.4,1063.2,,31.0,26.0,3,0,
2016.0,Bhadradri Kothagudem,479.6,113.6,151.8,383.2,1128.2,,50.0,15.0,4,0,
2016.0,Bhadradri Kothagudem,318.8,99.2,165.2,392.0,975.2,,16.0,21.0,2,1,
2016.0,Jayashankar Bhupalpally,144.4,421.6,157.0,227.4,950.4,,25.0,14.0,1,0,
2016.0,Jayashankar Bhupalpally,316.2,328.8,93.0,406.6,1144.6,,28.0,23.0,0,0,
2016.0,Jayashankar Bhupalpally,417.8,384.4,243.4,299.4,1345.0,,32.0,17.0,2,1,
2016.0,Jayashankar Bhupalpally,309.8,346.4,143.6,227.6,1027.4,,36.0,23.0,2,0,
2016.0,Jayashankar Bhupalpally,297.6,212.6,119.4,246.2,875.8,,18.0,27.0,0,1,
2016.0,Jayashankar Bhupalpally,417.8,384.4,243.4,299.4,1345.0,,40.0,16.0,1,1,
2016.0,Jayashankar Bhupalpally,173.4,366.4,257.8,336.2,1133.8,,36.0,23.0,2,0,
2016.0,Jayashankar Bhupalpally,177.0,373.6,282.0,307.0,1139.6,,22.0,31.0,0,0,
2016.0,Jayashankar Bhupalpally,156.0,326.2,132.6,271.4,886.2,,31.0,20.0,4,0,
2016.0,Jayashankar Bhupalpally,433.2,367.6,198.2,269.6,1268.6,,29.0,21.0,0,0,
2016.0,Jayashankar Bhupalpally,302.4,360.2,130.4,425.2,1218.2,,23.0,30.0,3,0,
2016.0,Jayashankar Bhupalpally,289.2,325.6,146.8,319.4,1081.0,,34.0,20.0,2,1,
2016.0,Jayashankar Bhupalpally,117.4,354.2,247.4,355.0,1074.0,,29.0,27.0,1,0,
2016.0,Jayashankar Bhupalpally,177.0,373.6,282.0,307.0,1139.6,,33.0,18.0,3,0,
2016.0,Jayashankar Bhupalpally,279.8,317.8,142.4,394.2,1134.2,,31.0,20.0,4,0,
2016.0,Jayashankar Bhupalpally,344.0,408.2,128.6,259.6,1140.4,,34.0,20.0,0,2,
