Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days,No Rain,Light Rainfall,moderate,Heavy,Very Heavy,YEAR,August,September,Rainy Day,Very Light,Light,Moderate,Extremely Heavy,Rainy Days(out of 122)
2015.0,2211,Hyderabad,Asifnagar,117.5,45.0,116.2,183.4,462.1,33.0,83,26.0,13.0,0,0,,,,,,,,,
2015.0,2213,Hyderabad,Bahadurpura,124.2,29.4,102.4,176.6,432.6,29.0,82,30.0,10.0,0,0,,,,,,,,,
2015.0,2214,Hyderabad,Bandlaguda,131.6,29.8,102.4,178.4,442.2,29.0,80,32.0,10.0,0,0,,,,,,,,,
2015.0,2215,Hyderabad,Charminar,128.8,42.6,156.0,315.2,642.6,35.0,78,30.0,14.0,0,0,,,,,,,,,
2015.0,2212,Hyderabad,Golkonda,125.2,45.8,98.0,158.2,427.2,33.0,80,30.0,12.0,0,0,,,,,,,,,
2015.0,2208,Hyderabad,Himayatnagar,159.2,40.4,77.6,250.8,528.0,30.0,91,19.0,12.0,0,0,,,,,,,,,
2015.0,2210,Hyderabad,Khairatabad,117.5,45.0,116.2,183.4,462.1,33.0,83,26.0,13.0,0,0,,,,,,,,,
2015.0,2205,Hyderabad,Maredpally,148.0,31.6,45.4,173.2,398.2,21.0,100,10.0,12.0,0,0,,,,,,,,,
2015.0,2206,Hyderabad,Musheerabad,178.6,44.0,61.6,280.6,564.8,28.0,91,17.0,13.0,1,0,,,,,,,,,
2015.0,2209,Hyderabad,Nampally,100.7,30.4,145.3,270.0,546.4,31.0,85,25.0,12.0,0,0,,,,,,,,,
2015.0,2216,Hyderabad,Saidabad,204.6,57.6,100.8,352.8,715.8,34.0,79,25.0,16.0,2,0,,,,,,,,,
2015.0,2203,Hyderabad,Secunderabad,161.6,37.8,59.4,135.0,393.8,23.0,74,40.0,8.0,0,0,,,,,,,,,
2015.0,2201,Hyderabad,Shaikpet,125.2,45.8,98.0,158.2,427.2,33.0,80,30.0,12.0,0,0,,,,,,,,,
2015.0,2204,Hyderabad,Tirumalgiri,148.0,31.6,45.4,173.2,398.2,21.0,100,10.0,12.0,0,0,,,,,,,,,
2015.0,604,Jagtial,Beerpur,152.6,121.4,120.4,313.2,707.6,31.0,90,22.0,8.0,1,1,,,,,,,,,
2015.0,607,Jagtial,Buggaram,156.4,176.6,180.0,295.2,808.2,36.0,83,24.0,13.0,1,1,,,,,,,,,
2015.0,606,Jagtial,Dharmapuri,156.4,176.6,180.0,295.2,808.2,36.0,83,24.0,13.0,1,1,,,,,,,,,
2015.0,617,Jagtial,Gollapalle,224.4,188.0,118.2,187.4,718.0,29.0,89,21.0,9.0,2,1,,,,,,,,,
2015.0,601,Jagtial,Ibrahimpatnam,173.2,78.0,120.0,108.0,479.2,30.0,88,23.0,11.0,0,0,,,,,,,,,
2015.0,608,Jagtial,Jagityal_Rural,156.4,119.0,205.5,240.8,721.7,34.0,88,20.0,12.0,1,1,,,,,,,,,
2015.0,609,Jagtial,Jagtial,156.4,119.0,205.5,240.8,721.7,34.0,88,20.0,12.0,1,1,,,,,,,,,
2015.0,613,Jagtial,Kathlapur,122.2,86.4,107.0,97.2,412.8,26.0,94,18.0,10.0,0,0,,,,,,,,,
2015.0,614,Jagtial,Kodimial,205.2,52.2,87.0,162.0,506.4,32.0,89,26.0,6.0,1,0,,,,,,,,,
2015.0,611,Jagtial,Koratla,160.4,86.2,215.0,54.2,515.8,29.0,93,16.0,13.0,0,0,,,,,,,,,
2015.0,615,Jagtial,Malial,212.6,62.2,77.6,293.4,645.8,30.0,86,30.0,5.0,0,1,,,,,,,,,
2015.0,602,Jagtial,Mallapur,152.2,83.8,84.6,118.2,438.8,26.0,88,26.0,8.0,0,0,,,,,,,,,
2015.0,610,Jagtial,Medipalle,100.8,92.6,131.0,171.2,495.6,35.0,87,26.0,8.0,1,0,,,,,,,,,
2015.0,612,Jagtial,Metpalle,185.0,56.2,108.0,120.0,469.2,32.0,89,23.0,10.0,0,0,,,,,,,,,
2015.0,616,Jagtial,Pegadapalle,240.8,54.6,146.3,170.0,611.7,30.0,92,20.0,7.0,3,0,,,,,,,,,
2015.0,603,Jagtial,Raikal,174.0,70.0,152.0,232.4,628.4,27.0,94,13.0,14.0,0,1,,,,,,,,,
2015.0,605,Jagtial,Sarangapur,152.6,121.4,120.4,313.2,707.6,31.0,90,22.0,8.0,1,1,,,,,,,,,
2015.0,618,Jagtial,Velgatoor,192.0,170.6,70.6,229.0,662.2,28.0,93,17.0,9.0,2,1,,,,,,,,,
2015.0,1907,Jangaon,Bachannapeta,147.6,24.8,167.8,275.8,616.0,36.0,82,23.0,17.0,0,0,,,,,,,,,
2015.0,1902,Jangaon,Chilpur,344.6,52.8,100.0,177.0,674.4,38.0,77,31.0,13.0,1,0,,,,,,,,,
2015.0,1911,Jangaon,Devaruppala,235.6,84.5,154.0,480.0,954.1,34.0,88,15.0,17.0,1,1,,,,,,,,,
2015.0,1904,Jangaon,Ganpur_stn,344.6,52.8,100.0,177.0,674.4,38.0,77,31.0,13.0,1,0,,,,,,,,,
2015.0,1910,Jangaon,Gundala,284.4,97.2,176.4,391.2,949.2,41.0,81,20.0,19.0,2,0,,,,,,,,,
2015.0,1908,Jangaon,Jangaon,215.6,37.8,159.2,256.8,669.4,31.0,91,16.0,15.0,0,0,,,,,,,,,
2015.0,1913,Jangaon,Kodakandla,406.4,54.2,182.8,203.4,846.8,35.0,87,20.0,12.0,2,1,,,,,,,,,
2015.0,1909,Jangaon,Lingalaghanpur,198.4,66.8,188.0,247.8,701.0,36.0,84,20.0,18.0,0,0,,,,,,,,,
2015.0,1906,Jangaon,Narmetta,224.6,5.4,80.0,198.2,508.2,35.0,80,31.0,11.0,0,0,,,,,,,,,
2015.0,1912,Jangaon,Palakurthi,243.8,85.0,258.6,228.6,816.0,36.0,84,19.0,18.0,1,0,,,,,,,,,
2015.0,1905,Jangaon,Raghunathpalle,216.8,38.8,163.6,242.6,661.8,44.0,77,30.0,15.0,0,0,,,,,,,,,
2015.0,1901,Jangaon,Tharigoppula,224.6,5.4,80.0,198.2,508.2,35.0,80,31.0,11.0,0,0,,,,,,,,,
2015.0,1903,Jangaon,Zaffergadh,248.4,47.2,149.4,115.8,560.8,29.0,86,22.0,14.0,0,0,,,,,,,,,
2015.0,811,Jayashankar Bhupalpally,Bhupalpalle,564.6,107.4,256.0,119.6,1047.6,41.0,80,25.0,13.0,3,1,,,,,,,,,
2015.0,806,Jayashankar Bhupalpally,Chityal,320.4,161.6,109.0,165.8,756.8,39.0,83,25.0,13.0,0,1,,,,,,,,,
2015.0,816,Jayashankar Bhupalpally,Eturunagaram,611.0,223.8,366.4,164.0,1365.2,44.0,76,22.0,19.0,4,1,,,,,,,,,
2015.0,810,Jayashankar Bhupalpally,Ghanapur_Mulug,574.4,176.8,185.0,280.6,1216.8,41.0,81,22.0,14.0,3,2,,,,,,,,,
2015.0,814,Jayashankar Bhupalpally,Govindaraopet,553.2,171.8,279.2,187.2,1191.4,45.0,73,29.0,13.0,6,1,,,,,,,,,
2015.0,817,Jayashankar Bhupalpally,Kannaigudem,611.0,223.8,366.4,164.0,1365.2,44.0,76,22.0,19.0,4,1,,,,,,,,,
2015.0,804,Jayashankar Bhupalpally,Kataram,748.7,193.0,230.0,115.0,1286.7,47.0,72,26.0,19.0,4,1,,,,,,,,,
2015.0,801,Jayashankar Bhupalpally,Mahadevpur,608.8,142.0,154.0,178.6,1083.4,46.0,71,30.0,17.0,1,3,,,,,,,,,
2015.0,805,Jayashankar Bhupalpally,Malharrao,373.7,131.0,108.7,92.2,705.6,35.0,83,22.0,15.0,2,0,,,,,,,,,
2015.0,820,Jayashankar Bhupalpally,Mangapet,538.0,208.8,294.8,186.8,1228.4,49.0,75,24.0,19.0,4,0,,,,,,,,,
2015.0,808,Jayashankar Bhupalpally,Mogullapalle,327.2,125.4,147.2,166.8,766.6,44.0,75,36.0,9.0,1,1,,,,,,,,,
2015.0,813,Jayashankar Bhupalpally,Mulug,485.6,168.2,325.8,214.0,1193.6,37.0,77,23.0,16.0,5,1,,,,,,,,,
2015.0,803,Jayashankar Bhupalpally,Mutharam_Mahadevpur,424.8,94.0,109.2,205.6,833.6,37.0,79,28.0,12.0,1,2,,,,,,,,,
2015.0,802,Jayashankar Bhupalpally,Palmela,608.8,142.0,154.0,178.6,1083.4,46.0,71,30.0,17.0,1,3,,,,,,,,,
2015.0,809,Jayashankar Bhupalpally,Regonda,366.4,236.0,194.2,170.4,967.0,41.0,81,21.0,18.0,1,1,,,,,,,,,
2015.0,815,Jayashankar Bhupalpally,Tadvai,463.8,146.4,256.8,229.6,1096.6,39.0,83,16.0,21.0,1,1,,,,,,,,,
2015.0,807,Jayashankar Bhupalpally,Tekumatla,320.4,161.6,109.0,165.8,756.8,39.0,83,25.0,13.0,0,1,,,,,,,,,
2015.0,812,Jayashankar Bhupalpally,Venkatapur,458.0,195.8,205.6,285.6,1145.0,43.0,78,23.0,18.0,2,1,,,,,,,,,
2015.0,819,Jayashankar Bhupalpally,Venkatapuram,547.2,218.4,374.4,167.4,1307.4,50.0,63,33.0,22.0,3,1,,,,,,,,,
2015.0,818,Jayashankar Bhupalpally,Wazeed,557.0,193.2,318.0,167.8,1236.0,51.0,67,40.0,10.0,4,1,,,,,,,,,
2015.0,2607,Jogulamba Gadwal,Aiza,27.4,76.6,152.8,25.0,281.8,19.0,96,21.0,5.0,0,0,,,,,,,,,
2015.0,2612,Jogulamba Gadwal,Alampur,92.2,89.2,100.8,170.4,452.6,30.0,90,22.0,10.0,0,0,,,,,,,,,
2015.0,2602,Jogulamba Gadwal,Dharur,34.8,32.0,74.8,85.6,227.2,19.0,98,17.0,7.0,0,0,,,,,,,,,
2015.0,2603,Jogulamba Gadwal,Gadwal,51.8,76.0,120.0,160.4,408.2,28.0,92,20.0,10.0,0,0,,,,,,,,,
2015.0,2606,Jogulamba Gadwal,Ghattu,24.0,56.4,89.2,82.6,252.2,20.0,98,20.0,4.0,0,0,,,,,,,,,
2015.0,2604,Jogulamba Gadwal,Itikyal,56.8,52.6,186.4,39.6,335.4,20.0,99,17.0,5.0,1,0,,,,,,,,,
2015.0,2601,Jogulamba Gadwal,Kaloor_Timmanadoddi,24.0,56.4,89.2,82.6,252.2,20.0,98,20.0,4.0,0,0,,,,,,,,,
2015.0,2605,Jogulamba Gadwal,Maldakal,29.0,46.2,146.0,91.0,312.2,22.0,95,19.0,8.0,0,0,,,,,,,,,
2015.0,2610,Jogulamba Gadwal,Manopad,78.2,81.0,178.8,58.4,396.4,23.0,97,17.0,7.0,1,0,,,,,,,,,
2015.0,2608,Jogulamba Gadwal,Rajoli,34.8,82.6,97.6,100.2,315.2,23.0,97,18.0,7.0,0,0,,,,,,,,,
2015.0,2611,Jogulamba Gadwal,Undavelli,92.2,89.2,100.8,170.4,452.6,30.0,90,22.0,10.0,0,0,,,,,,,,,
2015.0,2609,Jogulamba Gadwal,Waddepalle,34.8,82.6,97.6,100.2,315.2,23.0,97,18.0,7.0,0,0,,,,,,,,,
2015.0,1507,Kamareddy,Banswada,157.0,91.2,153.0,136.8,538.0,26.0,89,20.0,13.0,0,0,,,,,,,,,
2015.0,1517,Kamareddy,Bhiknur,72.6,71.6,139.6,173.0,456.8,33.0,87,26.0,9.0,0,0,,,,,,,,,
2015.0,1522,Kamareddy,Bibipet,103.6,52.6,199.0,206.4,561.6,35.0,80,31.0,10.0,1,0,,,,,,,,,
2015.0,1504,Kamareddy,Bichkunda,72.4,120.2,155.4,56.4,404.4,27.0,89,23.0,10.0,0,0,,,,,,,,,
2015.0,1505,Kamareddy,Birkoor,94.8,78.8,181.2,83.8,438.6,25.0,97,13.0,11.0,1,0,,,,,,,,,
2015.0,1521,Kamareddy,Domakonda,103.6,52.6,199.0,206.4,561.6,35.0,80,31.0,10.0,1,0,,,,,,,,,
2015.0,1513,Kamareddy,Gandhari,184.0,31.6,147.6,159.6,522.8,31.0,87,23.0,11.0,1,0,,,,,,,,,
2015.0,1502,Kamareddy,Jukkal,218.8,70.0,161.8,224.2,674.8,28.0,92,19.0,8.0,3,0,,,,,,,,,
2015.0,1518,Kamareddy,Kamareddy,121.6,95.4,149.6,116.6,483.2,35.0,81,31.0,10.0,0,0,,,,,,,,,
2015.0,1512,Kamareddy,Lingampet,158.0,55.6,190.2,66.2,470.0,39.0,77,36.0,9.0,0,0,,,,,,,,,
2015.0,1520,Kamareddy,Machareddy,111.0,51.0,104.2,145.4,411.6,28.0,88,24.0,10.0,0,0,,,,,,,,,
2015.0,1501,Kamareddy,Madnur,227.4,53.6,168.6,133.2,582.8,31.0,89,19.0,13.0,1,0,,,,,,,,,
2015.0,1510,Kamareddy,Naga_Reddipet,193.2,59.8,205.4,107.6,566.0,34.0,79,33.0,10.0,0,0,,,,,,,,,
2015.0,1506,Kamareddy,Nasurullabad,94.8,78.8,181.2,83.8,438.6,25.0,97,13.0,11.0,1,0,,,,,,,,,
2015.0,1509,Kamareddy,Nizamsagar,115.8,108.8,154.8,118.8,498.2,34.0,78,34.0,10.0,0,0,,,,,,,,,
2015.0,1503,Kamareddy,Pedda Kodapgal,72.4,120.2,155.4,56.4,404.4,27.0,89,23.0,10.0,0,0,,,,,,,,,
2015.0,1508,Kamareddy,Pitlam,147.2,146.6,122.8,117.4,534.0,39.0,79,31.0,12.0,0,0,,,,,,,,,
2015.0,1516,Kamareddy,Rajampet,72.6,71.6,139.6,173.0,456.8,33.0,87,26.0,9.0,0,0,,,,,,,,,
2015.0,1519,Kamareddy,Ramareddy,111.0,51.0,104.2,145.4,411.6,28.0,88,24.0,10.0,0,0,,,,,,,,,
2015.0,1514,Kamareddy,Sadasivanagar,131.8,54.0,123.8,48.4,358.0,27.0,89,26.0,7.0,0,0,,,,,,,,,
2015.0,1515,Kamareddy,Tadwai,99.4,40.4,101.8,124.0,365.6,28.0,82,32.0,8.0,0,0,,,,,,,,,
2015.0,1511,Kamareddy,Yellareddy,148.4,112.2,154.2,118.0,532.8,37.0,78,34.0,10.0,0,0,,,,,,,,,
2015.0,1310,Karimnagar,Chigurumamidi,79.4,83.9,136.0,168.2,467.5,33.0,85,27.0,10.0,0,0,,,,,,,,,
2015.0,1303,Karimnagar,Choppadandi,265.4,78.2,121.4,244.4,709.4,44.0,77,29.0,15.0,1,0,,,,,,,,,
2015.0,1316,Karimnagar,Ellandakunta,273.6,113.4,230.6,171.8,789.4,38.0,76,31.0,12.0,3,0,,,,,,,,,
2015.0,1301,Karimnagar,Gangadhara,152.2,100.0,79.0,259.0,590.2,34.0,81,31.0,9.0,1,0,,,,,,,,,
2015.0,1306,Karimnagar,Gannervaram,154.8,65.0,137.0,197.2,554.0,36.0,76,35.0,9.0,2,0,,,,,,,,,
