Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days,No Rain,Light Rainfall,moderate,Heavy,Very Heavy
2015,617,Jagtial,Gollapalle,224.4,188,118.2,187.4,718,29,89,21,9,2,1
2015,601,Jagtial,Ibrahimpatnam,173.2,78,120,108,479.2,30,88,23,11,0,0
2015,608,Jagtial,Jagityal_Rural,156.4,119,205.5,240.8,721.7,34,88,20,12,1,1
2015,609,Jagtial,Jagtial,156.4,119,205.5,240.8,721.7,34,88,20,12,1,1
2015,613,Jagtial,Kathlapur,122.2,86.4,107,97.2,412.8,26,94,18,10,0,0
2015,614,Jagtial,Kodimial,205.2,52.2,87,162,506.4,32,89,26,6,1,0
2015,611,Jagtial,Koratla,160.4,86.2,215,54.2,515.8,29,93,16,13,0,0
2015,615,Jagtial,Malial,212.6,62.2,77.6,293.4,645.8,30,86,30,5,0,1
2015,602,Jagtial,Mallapur,152.2,83.8,84.6,118.2,438.8,26,88,26,8,0,0
2015,610,Jagtial,Medipalle,100.8,92.6,131,171.2,495.6,35,87,26,8,1,0
2015,612,Jagtial,Metpalle,185,56.2,108,120,469.2,32,89,23,10,0,0
2015,616,Jagtial,Pegadapalle,240.8,54.6,146.3,170,611.7,30,92,20,7,3,0
2015,603,Jagtial,Raikal,174,70,152,232.4,628.4,27,94,13,14,0,1
2015,605,Jagtial,Sarangapur,152.6,121.4,120.4,313.2,707.6,31,90,22,8,1,1
2015,618,Jagtial,Velgatoor,192,170.6,70.6,229,662.2,28,93,17,9,2,1
2015,1907,Jangaon,Bachannapeta,147.6,24.8,167.8,275.8,616,36,82,23,17,0,0
2015,1902,Jangaon,Chilpur,344.6,52.8,100,177,674.4,38,77,31,13,1,0
2015,1911,Jangaon,Devaruppala,235.6,84.5,154,480,954.1,34,88,15,17,1,1
2015,1904,Jangaon,Ganpur_stn,344.6,52.8,100,177,674.4,38,77,31,13,1,0
2015,1910,Jangaon,Gundala,284.4,97.2,176.4,391.2,949.2,41,81,20,19,2,0
2015,1908,Jangaon,Jangaon,215.6,37.8,159.2,256.8,669.4,31,91,16,15,0,0
2015,1913,Jangaon,Kodakandla,406.4,54.2,182.8,203.4,846.8,35,87,20,12,2,1
2015,1909,Jangaon,Lingalaghanpur,198.4,66.8,188,247.8,701,36,84,20,18,0,0
