Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days(out of 122),No Rain,Light Rainfall,moderate,Heavy,Very Heavy
2016,2711,Wanaparthy,Pebbair,168.2,99.4,98,298.7,664.3,35,88,23,10,1,0
2016,2703,Wanaparthy,Peddamandadi,130.8,80.4,55.6,202,468.8,35,77,29,15,1,0
2016,2706,Wanaparthy,Revelly,195,133.4,61,165.4,554.8,34,75,36,11,0,0
2016,2712,Wanaparthy,Srirangapur,168.2,99.4,98,298.7,664.3,35,76,36,9,1,0
2016,2713,Wanaparthy,Veepangandla,173.6,67.8,110.4,199.4,551.2,28,77,29,15,1,0
2016,2708,Wanaparthy,Wanaparthy,125.2,173.4,60,255.4,614,38,92,15,14,1,0
2016,1105,Warangal_Rural,Atmakur,164,351.4,122,420.4,1057.8,53,79,29,14,0,0
2016,1110,Warangal_Rural,Chennaraopeta,223.4,232.8,98.4,315,869.6,41,67,31,24,0,0
2016,1103,Warangal_Rural,Damera,164,351.4,122,420.4,1057.8,53,70,34,16,2,0
2016,1106,Warangal_Rural,Duggondi,121.4,282.4,72.8,334.4,811,40,67,31,24,0,0
2016,1104,Warangal_Rural,Geesugonda,234.5,308.4,136,609.6,1288.5,46,78,26,17,1,0
2016,1109,Warangal_Rural,Khanapur,244.6,260.4,178.2,596.8,1280,53,76,20,23,2,1
2016,1107,Warangal_Rural,Nallabelly,178.8,347.4,118,662.2,1306.4,53,60,39,20,2,1
2016,1108,Warangal_Rural,Narsampet,250.4,272.8,110.2,463.8,1097.2,52,63,29,27,3,0
2016,1115,Warangal_Rural,Nekkonda,309.6,139.2,163.4,409,1021.2,49,64,34,23,1,0
2016,1101,Warangal_Rural,Parkal,147.6,472.6,111,500.6,1231.8,52,63,35,22,1,1
2016,1114,Warangal_Rural,Parvathagiri,280.8,74.2,211,378.6,944.6,41,64,30,26,2,0
2016,1113,Warangal_Rural,Raiparthy,276.6,141.4,133.6,349.4,901,44,75,32,11,3,1
2016,1111,Warangal_Rural,Sangem,229.8,233.2,121.4,456.2,1040.6,48,75,28,17,2,0
2016,1102,Warangal_Rural,Shayampet,233.8,457.8,139,462.8,1293.4,48,69,32,19,1,1
2016,1112,Warangal_Rural,Wardhannapet,288.8,150,128.4,359.4,926.6,46,72,20,28,2,0
2016,1201,Warangal_Urban,Bheemadevarapalle,172.8,444.4,187.2,352,1156.4,48,64,41,15,2,0
2016,1206,Warangal_Urban,Dharmasagar,235,387.2,203.6,577.8,1403.6,49,61,30,29,2,0
2016,1203,Warangal_Urban,Elkathurthi,124.2,360,85.2,317.2,886.6,49,72,24,21,4,1
2016,1208,Warangal_Urban,Hanamkonda,327,449.6,116.2,634.8,1527.6,60,68,32,21,1,0
